arrival_rate,payload_bytes,legacy_fraction,block_interval_s,block_bytes,slots_per_block,duration_blocks,warmup_blocks,policy,seed,control_v,break_time_s,exposure_target,verify_budget_per_block,surge_multiplier,surge_enter,surge_leave,deadline_order,fixed_penalty,attack_rate,vulnerable_cap,pq_max_wait,commit_reveal,commit_bytes,trace_name,migration_budget,budget_margin,expired_last,legacy_commit_reveal,expired_order,backfill,builder_break_time_s,fee_tiers,fee_model,attack_fee,adopt_share,adopt_by_value,forger_fee,bump_at,adversary,throughput_tps,inclusion_ratio,at_risk_fraction,at_risk_fraction_legacy,at_risk_fraction_vuln,exposure_floor,window_mean_s,window_p95_s,window_legacy_mean_s,window_legacy_p95_s,window_vuln_mean_s,window_vuln_p95_s,window_vuln_p99_s,window_vuln_max_s,window_vuln_p95_cens_s,window_vuln_p99_cens_s,lost_fraction_vuln,lost_fraction_legacy,lost_fraction_norule_vuln,lost_fraction_norule_legacy,adopter_block_share,block_value_ratio,block_value_ratio_geo,mean_pending_tx,bytes_per_tx,verify_per_tx,generated,pending_measured_end,mean_offered_tps,inclusion_ratio_pq,latency_mean_s,commit_bytes_per_tx,attacker_included_tps,attacker_block_share,share_ecdsa,share_falcon,share_mldsa,share_hybrid,adv_feasible,adv_count_k1,adv_value116_k1,adv_value150_k1,adv_value200_k1,adv_count_k11,adv_value116_k11,adv_value150_k11,adv_value200_k11,adv_count_k100,adv_value116_k100,adv_value150_k100,adv_value200_k100,adv_count_k1000,adv_value116_k1000,adv_value150_k1000,adv_value200_k1000,experiment
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,1,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,28.547333333333334,1.0,0.0006013404637911305,0.0005740751551948937,0.0006013404637911305,0.0,13.172431750776596,37.0,13.178189036137535,37.0,13.172431750776596,37.0,51.0,62.399999999999636,37.0,51.0,0.0,0.0,0.0006013404637911305,0.0005740751551948937,1.0,1.0,1.0,341.78100000000035,355.0,1.0,342568,0,28.547333333333334,,13.172431750776596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,2,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,32.849583333333335,0.9991888774824785,0.033686373495351286,0.033968012185833965,0.033686373495351286,0.0,18.856354849757146,53.0,18.871073876618535,55.0,18.856354849757146,53.0,87.0,108.0,53.0,87.0,0.0,0.0,0.033686373495351286,0.033968012185833965,1.0,1.0,1.0,582.527499999999,355.0,1.0,394515,320,32.87625,,18.856354849757146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,3,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,33.785333333333334,1.0,0.08018765539287265,0.08004788769351877,0.08018765539287265,0.0,22.527316587079152,73.0,22.532432432432383,73.0,22.527316587079152,73.0,107.0,127.19999999999982,73.0,107.0,0.0,0.0,0.08018765539287265,0.08004788769351877,1.0,1.0,1.0,720.5505000000028,355.0,1.0,405424,0,33.785333333333334,,22.527316587079152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,4,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.00375,0.9978935990354901,0.009159966115346693,0.008964005217439569,0.009159966115346693,0.0,15.384290297046237,47.0,15.363161546360306,47.0,15.384290297046237,47.0,61.0,73.20000000000073,47.0,61.0,0.0,0.0,0.009159966115346693,0.008964005217439569,1.0,1.0,1.0,426.15019999999936,355.0,1.0,360805,760,30.067083333333333,,15.384290297046237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,5,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.67725,0.9980263247075409,0.041303680523297664,0.04194210373383699,0.041303680523297664,0.0,17.442466322763632,57.0,17.439107220688733,57.0,17.442466322763632,57.0,77.0,97.19999999999982,57.0,77.0,0.0,0.0,0.041303680523297664,0.04194210373383699,1.0,1.0,1.0,498.59109999999964,355.0,1.0,368855,728,30.737916666666667,,17.442466322763632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,6,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,31.49925,0.998138348437797,0.01510088864549685,0.015059040296220181,0.01510088864549685,0.0,15.235997682484513,43.0,15.217291321563675,43.0,15.235997682484513,43.0,65.0,79.19999999999982,43.0,65.0,0.0,0.0,0.01510088864549685,0.015059040296220181,1.0,1.0,1.0,442.8717999999988,355.0,1.0,378696,705,31.558,,15.235997682484513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,7,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,29.416666666666668,1.0,0.02205099150141643,0.02189313437335142,0.02205099150141643,0.0,14.929862889518473,47.0,14.868019443816522,45.0,14.929862889518473,47.0,69.0,84.0,47.0,69.0,0.0,0.0,0.02205099150141643,0.02189313437335142,1.0,1.0,1.0,403.8867999999996,355.0,1.0,353000,0,29.416666666666668,,14.929862889518473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,8,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.445,1.0,0.0193272020583566,0.02017763607378729,0.0193272020583566,0.0,16.020998521924792,49.0,16.05905534046924,49.0,16.020998521924792,49.0,65.0,75.60000000000036,49.0,65.0,0.0,0.0,0.0193272020583566,0.02017763607378729,1.0,1.0,1.0,451.2253000000007,355.0,1.0,365340,0,30.445,,16.020998521924792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,9,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,29.382833333333334,1.0,0.05708832254661168,0.056999423293279006,0.05708832254661168,0.0,17.217192578433018,69.0,17.2717612245092,69.0,17.217192578433018,69.0,113.0,126.0,69.0,113.0,0.0,0.0,0.05708832254661168,0.056999423293279006,1.0,1.0,1.0,474.80710000000136,355.0,1.0,352594,0,29.382833333333334,,17.217192578433018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,10,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,28.91175,1.0,0.0005245848717793515,0.0005408746716118065,0.0005245848717793515,0.0,11.760301607477992,31.0,11.743996291145152,31.0,11.760301607477992,31.0,47.0,62.399999999999636,31.0,47.0,0.0,0.0,0.0005245848717793515,0.0005408746716118065,1.0,1.0,1.0,305.55350000000084,355.0,1.0,346941,0,28.91175,,11.760301607477992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,11,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,28.853416666666668,1.0,0.016693574706634975,0.016607274276639425,0.016693574706634975,0.0,14.252000196394984,45.0,14.24140682496041,45.0,14.252000196394984,45.0,65.0,76.80000000000109,45.0,65.0,0.0,0.0,0.016693574706634975,0.016607274276639425,1.0,1.0,1.0,383.7059999999997,355.0,1.0,346241,0,28.853416666666668,,14.252000196394984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
